likecount,commentcount,repostcount,total engagements,conversion,spend,impressions,face area percentage %,number of objects,primary object area percentage %,secondary object area percentage %,text length,logo 1 area percentage %,logo 2 area percentage %,number of persons,person area,text area %,sentiment_score_vader,time_minutes,day_numeric,width,height,language_map,type_mapped,company_map,topic_map,objects,primary object,secondary object,text,dominant colour,logos,logo 1 name,person area %,style,tone,voice,sentiment,empty space %
45.865154,0.8376553,4.58143,43.810505,25.563484,4.03,520,0.20215311,6.0,7.44586681,6.251279472,116.0,0.0,0.0,2.0,13.69714628,8.808014354,0.8979,396,5,800,418,1,1,3,1,22,12,18,30,11,0,0,2,1,1,1,2,3
15.432829,-0.615398,1.0996749,-18.866022,18.778473,0.52,74,5.311913696,7.0,57.05354806,30.33827381,0.0,0.0,0.0,3.0,113.9958849,0.0,0.6801,396,5,800,533,1,1,3,1,17,12,13,2,11,0,0,1,0,0,0,0,0
60.149616,2.0673614,14.78793,102.91035,15.730192,1.1,256,0.0,0.0,0.0,0.0,103.0,0.9375,0.0,0.0,0.0,8.055121528,0.7579,396,5,640,360,1,3,3,3,0,0,0,15,4,9,9,0,1,1,1,2,3
45.20783,0.49438325,11.508564,77.48637,7.7345786,3.07,600,1.96,5.0,11.20701272,10.52898225,264.0,0.0,0.0,2.0,21.73599497,9.37,-0.2263,396,5,800,450,1,1,5,3,59,12,18,19,7,0,0,2,0,0,0,0,3
112.4729,1.2886863,-0.37857342,155.41849,37.78705,25.6,1267,0.443181818,10.0,14.66777144,12.73078745,59.0,0.0,0.0,3.0,34.78138382,5.301435407,0.9413,396,5,800,418,1,7,6,2,41,12,18,39,8,0,0,1,1,1,1,2,3
-34.910603,2.123035,6.490424,38.28041,18.028954,4.7,208,0.0,0.0,0.0,0.0,211.0,0.0,0.0,0.0,0.0,11.50358852,0.0,396,5,800,418,1,1,4,6,0,0,0,25,18,0,0,0,1,1,1,2,3
5.246035,0.66724026,-0.2803628,54.592995,33.353836,8.24,554,0.131563246,10.0,9.319207578,9.215985755,170.0,0.795346062,0.0,7.0,46.57432738,3.081443914,0.9403,396,5,800,419,1,1,1,4,54,12,18,33,14,10,10,1,0,0,0,0,3
49.064297,-0.39676923,0.20118693,50.505875,16.554459,2.95,497,3.601190476,3.0,37.19199239,1.73071003,59.0,1.679761905,0.0,1.0,37.19199239,10.15654762,0.0,396,5,800,420,1,1,1,2,64,12,25,17,8,10,10,1,0,0,0,0,3
55.610218,0.4195499,-2.4353533,56.60073,21.456348,1.66,455,1.406698565,5.0,9.86774955,18.01001752,68.0,0.0,0.0,4.0,49.81508593,14.01255981,0.9274,396,5,800,418,1,7,6,2,52,12,18,45,7,0,0,1,0,0,0,0,3
8.336614,-0.2714843,-1.1806201,18.484537,5.5539427,0.72,94,0.466507177,4.0,7.716889276,3.962372242,81.0,1.381578947,0.0,3.0,23.94408533,5.287679426,0.8591,416,5,800,418,1,1,2,1,62,12,23,72,8,17,14,2,0,0,0,0,3
